,title,author,publisher,publistDate,ISBN,pages,genre,description,book_img_url
0,소년이 온다,한강,창비,2014년 05월 19일,9788936434120,216,소설/시/희곡,"말라파르테 문학상, 만해문학상 수상작 
우리 시대의 소설 『소년이 온다』  

2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』. 이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다. 

『소년이 온다』는 ‘상처의 구조에 대한 투시와 천착의 서사’를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명하며, 무고한 영혼들의 말을 대신 전하는 듯한 진심 어린 문장들로 5·18 이후를 살고 있는 우리에게 묵직한 질문을 던진다. 

가장 한국적인 서사로 세계를 사로잡은 한강 문학의 지향점을 보여주는 작품. 인간의 잔혹함과 위대함을 동시에 증언하는 이 충일한 서사는 이렇듯 시공간의 한계를 넘어 인간 역사의 보편성을 보여주며 훼손되지 말아야 할 인간성을 절박하게 복원한다. 

                                                ",13137546.jpg
1,채식주의자,한강,창비,2022년 03월 28일,276쪽 | 358g | 128*194*20mm,양장,소설/시/희곡,"인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 역작을 다시 만나다 2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다.                                 ",108422348.jpg
2,작별하지 않는다,한강,문학동네,2021년 09월 09일,9788954682152,332,소설/시/희곡,"2023 프랑스 메디치 외국문학상 수상

무엇을 생각하면 견딜 수 있나.
가슴에 활활 일어나는 불이 없다면.
기어이 돌아가 껴안을 네가 없다면.

이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터
꿈처럼 스며오는 지극한 사랑의 기억

2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.


                                                ",103495056.jpg
3,흰,한강,문학동네,2018년 04월 25일,196쪽 | 372g | 120*188*20mm,양장,소설/시/희곡,"고독과 고요, 그리고 용기.이 책이 나에게 숨처럼 불어넣어준 것은 그것들이었다.2018년 봄, 한강 작가의 소설 『흰』을 새롭게 선보인다. 이 년 전 오월에 세상에 나와 빛의 겹겹 오라기로 둘러싸인 적 있던 그 『흰』에 새 옷을 입히게 된 건 소설 발간에 즈음해 행했던 작가의 퍼포먼스가 글과 함께 배었으면 하는 바람에서였다. 작가의 고요하고 느린 퍼포먼스들은 최진혁 작가가 제작한 영상 속에서 그녀의 언니-아기를 위한 행위들을 ‘언어 없는 언어’로 보여준다. 그리하여 다시 만나게 된 한강 작가의 소설 『흰』은 수를 놓듯 땀을 세어가며 지은 책, 그런 땀방울로 얼룩진 책이다. 이참이 아니라면 ‘흰’이라는 한 글자에 매달려 그가 파생시킨 세상 모든 ‘흰 것’들의 안팎을 헤집어볼 수가 있었을까. ‘흰’이라는 한 글자를 뚫어지게 쳐다보고 있노라니 ‘흰’이라는 한 글자의 생김과 발음에서 끓어 넘친 숭늉처럼 찐득찐득한 슬픔 같은 게 밀려든다. ‘흰’, 안다고 말할 수도, 또 모른다고 말할 수도 없는 이 기묘하고 미묘한 ‘흰’의 세계 속에서 한강이 끌어올린 서사는 놀라우리만치 넓고 깊다. 예민하면서도 섬세한 특유의 감각으로 예리하게 건져올린 사유는 얼음처럼 차갑고 막 빻아져 나온 뼛가루처럼 뜨겁다. 한강이 백지 위에 힘껏 눌러 쓴 소설 『흰』. 그 밖의 모든 흰 것을 말하는 소설 『흰』. 『흰』은 결코 더럽혀지지 않는, 절대로 더럽혀질 수가 없는 어떤 흰 것에 관한 이야기다.                                ",60524285.jpg
4,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013년 11월 15일,9788932024639,165,소설/시/희곡,"2024 노벨문학상 수상 작가 한강심해의 밤, 침묵에서 길어 올린 핏빛 언어들상처 입은 영혼에 닿는 투명한 빛의 궤적들한강 문학의 시적 기원!“한강의 소설에 등장하는 수많은 그림의 실재가 궁금했던 사람들은 이제 시집 『서랍에 저녁을 넣어 두었다』를 펼치면 된다”1993년 계간 『문학과사회』 겨울호에 시 「서울의 겨울」 외 4편을 발표하고 이듬해 『서울신문』 신춘문예에 단편소설 「붉은 닻」이 당선되어 작품 활동을 시작한 한강이 틈틈이 쓰고 발표한 시들 중 60편을 추려 묶어 데뷔 20년 만에 펴낸 첫 시집이다. 인간 삶의 고독과 비애, 삶과 죽음의 경계에서 맞닥뜨리는 어떤 진실과 본질적인 정서들을 특유의 단단하고 시정 어린 문체로 새겨온 시인은 한국소설문학상(1999), 오늘의 젊은 예술가상(2000), 이상문학상(2005), 동리문학상(2010), 만해문학상(2014), 황순원문학상(2015), 인터내셔널 부커상(2016), 말라파르테 문학상(2017), 김유정문학상(2018), 산클레멘테 문학상(2019), 대산문학상(2022), 메디치 외국문학상(2023), 에밀 기메 아시아문학상(2024), 노벨문학상(2024) 등을 수상한 바 있다. 「저녁의 소묘」 「새벽에 들은 노래」 「피 흐르는 눈」 「거울 저편의 겨울」 연작들의 시편 제목을 일별하는 것만으로도 그 정조가 충분히 감지되는 『서랍에 저녁을 넣어 두었다』에는 어둠과 침묵 속에서 더욱 명징해지는 존재와 언어를 투명하게 대면하는 목소리가 가득하다. “말과 동거”하는 숙명을 안은 채 “고통과 절망의 응시 속에서 반짝이는 깨어 있는 언어-영혼”(문학평론가 조연정)을 발견해가는 환희와 경이의 순간이 여기에 있다.                                ",11467936.jpg
5,마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),강용수,유노북스,2023년 09월 07일,9791192300818,232,인문,"★쇼펜하우어 불후의 명언(한국어+독일어) 67선 수록★
★강용수 저자의 말+친필 사인 수록★
★철학 교양 최장기 베스트셀러 1위★

‘쇼펜하우어 신드롬’을 일으킨 명저
200쇄 기념 확장판 출간
마흔의 삶에 지혜를 주는 쇼펜하우어의 30가지 조언

‘쇼펜하우어 신드롬’으로 대한민국에 철학 열풍, 독서 열풍을 일으킨 주인공 『마흔에 읽는 쇼펜하우어』가 200쇄를 맞이했다. 10개월 만이다. 이 책은 2023년 8월에 출간돼 철학 교양서 최초로 전 서점 베스트셀러 1위에 올랐으며, 20대부터 60대까지 세대를 아우르는 인기로 독자들 사이에서 입소문이 나 지금도 베스트셀러의 인기를 이어 나가고 있다.

『마흔에 읽는 쇼펜하우어』가 200쇄를 기념해 독자들에게 확장판으로 찾아간다. 확장판에는 쇼펜하우어가 남긴 불후의 명언 67선을 한국어와 독일어 원문으로 실었다. 이와 함께 독자들에게 용기를 전하는 저자의 글과 친필 사인을 담고, 금박 문양으로 표지를 고급스럽게 장식해 소장 가치를 높였다. 이 책이 각계의 많은 저명인사에게 끊임없이 소개되고 독자들에게 사랑받는 이유는 무엇일까? 아마 인생을 더 잘 살아가는 데 필요한 견식과 안목을 마련해 주기 때문일 것이다. 진정한 행복을 원했기에 고통을 직시한 현실주의 철학자 쇼펜하우어의 통찰력은 인생을 내다보는 지혜가 시대와 세대에 상관없이 통한다는 점을 일깨운다.

“산다는 것은 괴로운 것이다”, “오늘은 단 한 번뿐이다”, “우리의 모든 불행은 혼자 있을 수 없어서 생긴다” 등의 주옥같은 사상을 남긴 쇼펜하우어는 인생이 고통스럽다면 삶의 기준을 타인에게서 자신으로 옮기라고 말했다. 자기 자신을 긍정하는 마음, 타인에게 비굴하지 않는 당당함, 스스로의 힘으로 살 수 있는 품격을 갖춘다면 자존심이 무너진 자리에 자긍심이 피어날 것이다. 가장 열정적으로 살아가는 인생의 황금기이자 ‘인생은 고통’이라는 인식에 다다르는 때, 또는 마흔을 앞두었거나 되돌아보는 나이라면 쇼펜하우어를 만나 보라. 마음의 위기를 다스리고 행복할 수 있는 용기를 손에 쥘 것이다.



                                                ",122120495.jpg
6,희랍어 시간,한강,문학동네,2011년 11월 10일,9788954616515,194,소설/시/희곡,"말語을 잃어가는 한 여자의 침묵과눈眼을 잃어가는 한 남자의 빛이 만나는 찰나의 이야기어떤 원인도 전조도 없이, 여자는 말語을 잃는다. 그것이 처음 왔던 것은 열일곱 살 겨울. 말을 잃고 살던 그녀의 입술을 다시 달싹이게 한 건 낯선 외국어였던 한 개의 불어 단어였다. 시간은 다시 흘렀다. 이혼을 하고, 아홉 살 난 아이의 양육권도 빼앗기고, 다시 그렇게 말을 잃어버린 후, 일상의 모든 것들을 다 놓을 수밖에 없었던 여자가 선택한 것은 이미 저물어 죽은 언어가 된 희랍어. 그곳에서 만난 희랍어 강사와 여자는 서로의 앞에 침묵을 놓고 더듬더듬 대화한다.           가족들을 모두 독일에 두고 십수 년 만에 혼자 한국으로 돌아와 희랍어를 가르치는 남자. 남자는 점점 빛을 잃어가고 있다. 볼 수 없다던 마흔이 가까워오지만 아마 일이 년쯤은 더 볼 수 있을지 모른다. 아카데미의 수강생 중 말을 하지도, 웃지도 않는 여자를 주의 깊게 지켜보지만 여자의 단단한 침묵과 마주하자 두려움을 느낀다. 살아 있는 사람에게선 본 적 없는 지독한 침묵. 그리고 점점 소멸해가는 남자의 미약한 빛. 이 어스름이 완전한 밤으로 이어지는 걸까. 『희랍어 시간』을 들여다보는 일은, 어떤 기미를 발견하고 흔적을 더듬는 일이다. 그리고 희미하게 떠오르는 그 기미와 흔적들은 어두운 암실, 정착액 속의 사진이 점점 선명하게 상을 만들어내듯 어느 순간 고대문자처럼 오래고 단단한 이야기를 만들어낸다. 그리고 그것은 과거의 시간과, 그리고 현재까지 이어진 현재진행형의 시간까지를 포함한다. 우리는 이미 오래전에 존재하던 것들, 그 기미와 흔적들, 영원과도 같은 어떤 찰나들, 그리고 그 모든 것들이 한 자리에서 만나는 어떤 한 장면을 소설을 통해 목격하게 될 것이다.                                ",5926713.jpg
7,세이노의 가르침,세이노(SayNo),데이원,2023년 03월 02일,9791168473690,736,자기계발,"재야의 명저 『세이노의 가르침』 2023년판 정식 출간!
순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다

2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 저자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.

*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다.

                                                ",117014613.jpg
8,모순,양귀자,쓰다,2013년 04월 01일,308쪽 | 398g | 128*188*30mm,양장,소설/시/희곡,"초판이 나온 지 벌써 15년이 흘렀지만 이 소설 『모순』은 아주 특별한 길을 걷고 있다. 그때 20대였던 독자들은 지금 결혼을 하고 30대가 되어서도 가끔씩 『모순』을 꺼내 다시 읽는다고 했다. 다시 읽을 때마다 전에는 몰랐던 소설 속 행간의 의미를 깨우치거나 세월의 힘이 알려준 다른 해석에 놀라면서 “내 인생의 가장 소중한 책 한 권”으로 꼽는 것을 주저하지 않는다. 『모순』이 특별한 것은 대다수의 독자들이 한 번만 읽고 마는 것이 아니라 적어도 두 번, 혹은 세 번 이상 되풀이 읽고 있다는 사실에 있다.

『모순』의 주인공은 25세의 미혼여성 안진진. 시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명의 상태로 떠돌다 가끔씩 귀가하는 아버지, 그리고 조폭의 보스가 인생의 꿈인 남동생이 가족이다. 여기에 소설의 중요 인물로 등장하는 이모는 주인공 안진진의 어머니와는 일란성 쌍둥이로 태어났지만 인생행로는 사뭇 다르다. 부유한 이모는 지루한 삶에 진력을 내고 있고 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 주인공 안진진은 극단으로 나뉜 어머니와 이모의 삶을 바라보며 모순투성이인 이 삶을 어떻게 이해해야 하는지 심각하게 고민하기 시작한다. 

                                                ",8759796.jpg
9,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021년 12월 15일,9791191061048,240,청소년,"차인표 작가가 전하는 감동의 휴먼 드라마   
자신을 대변할 수 없었던 이들을 위한 헌사 

『언젠가 우리가 같은 별을 바라본다면』은 고국을 떠나 70년 만에 필리핀의 한 작은 섬에서 발견된 쑤니 할머니의 젊은 시절을 담은 이야기이다. 작가는 우리나라가 일본에 주권을 빼앗긴 채 가난하고 핍박받던 시절을 맨몸으로 버텨 낸 우리 어머니의 어머니, 아버지의 아버지들의 이야기를 남기고자 집필을 시작했다. A4 용지 스무 장 분량으로 시작한 이야기는 10년의 집필 기간 동안 데이터 유실로 의지가 꺾이기도 하고 모든 것을 원점에서 복기하기를 반복하는 등 우여곡절을 겪은 후, 더욱 진정성과 사실에 근거한 서정적이고 아름다운 소설로 완성되었다. 

소설의 배경은 1930년대 백두산 기슭의 호랑이 마을. 엄마와 동생을 해친 호랑이 백호를 잡아 복수하기 위해 아버지와 함께 호랑이 마을로 찾아온 호랑이 사냥꾼 용이와 촌장 댁 손녀 순이 그리고 미술학도 출신의 일본군 장교 가즈오가 등장한다. 그저 평범한 행복을 누리며 살고 싶었던 그 시대의 순수한 젊은이들이 역사의 소용돌이에서 마주한 절망 속에서도 서로를 향한 믿음과 사랑, 헌신적 선택으로 격정의 한때를 관통해 나간다. 작가는 ‘사랑과 용서, 화해’라는 주제 의식을 진중하고 따스한 시선으로 풀어내면서도 세 주인공을 중심으로 속도감 있고 밀도 있게 이야기를 이끌어 간다. 또한, 치밀한 세부 장면 구성과 고증을 거친 백두산 마을의 수려한 풍경 묘사는 읽는 내내 머릿속에 한 편의 영화가 떠오를 정도로 생동감 넘쳐 또 하나의 의미 있는 문학적 성취를 보여 준다. 

이 소설을 통해 작가는 평온한 시대를 살아가는 우리들에게 “당신이 그 시대에 살았다면 어땠을까……” “지금의 우리가 그들을 위해 할 수 있는 일은 무엇일까……” 무언의 질문을 던지는 듯하다. 이제, 결코 잊어서는 안 될, 아직도 치유되지 않은 민족사의 상처를 간직한 이들을 보듬는 차인표 작가의 특별한 이야기가 시작된다. 


                                                ",104663596.jpg
